Outcome	drug	Outcome2
No-Effect	calcium-gluceptate	No-Effect
No-Effect	ambroxol	No-Effect
No-Effect	lindane	No-Effect
No-Effect	lorlatinib	No-Effect
Low (25%)	felodipine	Low (25%)
No-Effect	flecainide	No-Effect
Low (25%)	rilmenidine	Low (25%)
No-Effect	aripiprazole	No-Effect
No-Effect	amlodipine	No-Effect
No-Effect	benznidazole	No-Effect
No-Effect	niridazole	No-Effect
No-Effect	stetaderm	No-Effect
No-Effect	manidipine	No-Effect
No-Effect	nitrendipine	No-Effect
No-Effect	hydroxyprogesterone-acetate	No-Effect
No-Effect	tofacitinib	No-Effect
No-Effect	acitretin	No-Effect
No-Effect	entrectinib	No-Effect
No-Effect	cefdinir	No-Effect
No-Effect	bendamustine	No-Effect
Weak (50%)	NECA	Weak (50%)
No-Effect	oxyphencyclimine	No-Effect
Weak (50%)	vindesine	Weak (50%)
No-Effect	treosulfan	No-Effect
No-Effect	ceftizoxim	No-Effect
No-Effect	penfluridol	No-Effect
No-Effect	pyrvinium-pamoate	No-Effect
No-Effect	coenzyme-Q10	No-Effect
No-Effect	colfosceril-palmitate	No-Effect
No-Effect	bupranolol	No-Effect
Cyto	brolitene	Cyto
Very Weak (35%)	difenpiramide	Very Weak (35%)
No-Effect	desipramine	No-Effect
Low (25%)	suramin	Low (25%)
Low (25%)	salicylic-acid	Low (25%)
Weak (50%)	zalcitabine	Weak (50%)
No-Effect	methyl-salicylate	No-Effect
No-Effect	amifampridine	No-Effect
No-Effect	clemizole	No-Effect
No-Effect	estropipate	No-Effect
No-Effect	perospirone	No-Effect
Weak (50%)	methylparaben	Weak (50%)
Very Weak (35%)	metacresol	Very Weak (35%)
Very Weak (35%)	butamben	Very Weak (35%)
No-Effect	megestrol-acetate	No-Effect
No-Effect	ubenimex	No-Effect
No-Effect	tadalafil	No-Effect
No-Effect	maraviroc	No-Effect
No-Effect	dofetilide	No-Effect
No-Effect	benzbromarone	No-Effect
Low (25%)	dexmedetomidine	Low (25%)
Low (25%)	fluticasone-propionate	Low (25%)
No-Effect	dexamethasone	No-Effect
No-Effect	(R)-(-)-apomorphine	No-Effect
No-Effect	ceftiofur	No-Effect
No-Effect	cobicistat	No-Effect
No-Effect	dabigatran-etexilate	No-Effect
Strong (80%)	lasalocid	Strong (80%)
No-Effect	cefmenoxime	No-Effect
No-Effect	travoprost	No-Effect
No-Effect	indacaterol	No-Effect
No-Effect	atipamezole	No-Effect
Manual Inspection	rutin	No-Effect
No-Effect	tilmicosin	No-Effect
No-Effect	bupropion	No-Effect
No-Effect	ibudilast	No-Effect
No-Effect	canrenone	No-Effect
No-Effect	alprenolol	No-Effect
No-Effect	decitabine	No-Effect
No-Effect	mitomycin-C	No-Effect
No-Effect	milnacipran	No-Effect
No-Effect	netupitant	No-Effect
No-Effect	artemisinin	No-Effect
No-Effect	ibuprofen-(S)	No-Effect
No-Effect	isradipine	No-Effect
No-Effect	glyburide	No-Effect
No-Effect	paroxetine	No-Effect
Strong (80%)	levomepromazine	Strong (80%)
No-Effect	buclizine	No-Effect
No-Effect	obeticholic-acid	No-Effect
Weak (50%)	clofazimine	Weak (50%)
No-Effect	mephenytoin	No-Effect
Manual Inspection	astemizole	Weak (50%)
No-Effect	carbamazepine	No-Effect
No-Effect	N-acetylcarnosine	No-Effect
No-Effect	peficitinib	No-Effect
No-Effect	fadrozole	No-Effect
Manual Inspection	darolutamide	No-Effect
No-Effect	tenofovir-alafenamide	No-Effect
Weak (50%)	etoposide-phosphate	Weak (50%)
No-Effect	PF-06463922	No-Effect
No-Effect	lurasidone	No-Effect
Very Weak (35%)	rose-bengal	Very Weak (35%)
No-Effect	LCZ696	No-Effect
No-Effect	docetaxel	No-Effect
No-Effect	maxacalcitol	No-Effect
No-Effect	propafenone	No-Effect
Manual Inspection	fluocinonide	No-Effect
Weak (50%)	ingenol-mebutate	Weak (50%)
No-Effect	prednisolone-sodium-phosphate	No-Effect
Manual Inspection	minaprine	No-Effect
No-Effect	valdecoxib	No-Effect
No-Effect	bepridil	No-Effect
Manual Inspection	thiamylal	No-Effect
Manual Inspection	homatropine	No-Effect
Low (25%)	capreomycin	Low (25%)
No-Effect	sodium-picosulfate	No-Effect
No-Effect	mepivacaine	No-Effect
No-Effect	ezetimibe	No-Effect
No-Effect	brinzolamide	No-Effect
No-Effect	zofenopril-calcium	No-Effect
No-Effect	gliclazide	No-Effect
No-Effect	alverine	No-Effect
Manual Inspection	hesperidin	No-Effect
Manual Inspection	biapenem	No-Effect
No-Effect	dobutamine	No-Effect
No-Effect	exemestane	No-Effect
No-Effect	carbetocin	No-Effect
No-Effect	dromostanolone-propionate	No-Effect
No-Effect	oxprenolol	No-Effect
No-Effect	lidamidine	No-Effect
No-Effect	pipobroman	No-Effect
Low (25%)	ampiroxicam	Low (25%)
No-Effect	taurine	No-Effect
No-Effect	nitisinone	No-Effect
No-Effect	nalfurafine	No-Effect
No-Effect	dacarbazine	No-Effect
No-Effect	didox	No-Effect
No-Effect	cyclophosphamide	No-Effect
No-Effect	lovastatin	No-Effect
No-Effect	pipotiazine-palmitate	No-Effect
Manual Inspection	artemether	No-Effect
No-Effect	ceftriaxone	No-Effect
Low (25%)	pentamidine	Low (25%)
Low (25%)	mesalazine	Low (25%)
No-Effect	tiagabine	No-Effect
No-Effect	tedizolid-phosphate	No-Effect
No-Effect	dasatinib	No-Effect
No-Effect	hydroxyurea	No-Effect
No-Effect	prednisolone	No-Effect
No-Effect	ombitasvir	No-Effect
No-Effect	melphalan	No-Effect
No-Effect	dinoprostone	No-Effect
Weak (50%)	clobetasol-propionate	Weak (50%)
Manual Inspection	cefazolin	No-Effect
No-Effect	doripenem	No-Effect
No-Effect	teicoplanin-A2-3	No-Effect
No-Effect	cholecalciferol	No-Effect
Manual Inspection	alibendol	No-Effect
Low (25%)	flupentixol	Low (25%)
Low (25%)	carbenicillin	Low (25%)
Very Weak (35%)	etafenone	Very Weak (35%)
No-Effect	sitagliptin	No-Effect
No-Effect	pyrithyldione	No-Effect
No-Effect	levocarnitine	No-Effect
No-Effect	gemfibrozil	No-Effect
No-Effect	galantamine	No-Effect
No-Effect	azelaic-acid	No-Effect
No-Effect	thiram	No-Effect
No-Effect	guacetisal	No-Effect
Very Weak (35%)	sulfanilamide	Very Weak (35%)
Weak (50%)	norethisterone-enanthate	Weak (50%)
No-Effect	inimur	No-Effect
Low (25%)	afamelanotide	Low (25%)
Low (25%)	perfluamine	Low (25%)
Low (25%)	pyridoxine	Low (25%)
Low (25%)	oxytetracycline	Low (25%)
No-Effect	firocoxib	No-Effect
Weak (50%)	butylphthalide	Weak (50%)
Very Weak (35%)	morantel	Very Weak (35%)
Weak (50%)	methylene-blue	Weak (50%)
Very Weak (35%)	latanoprost	Very Weak (35%)
Very Weak (35%)	ticarcillin	Very Weak (35%)
Very Weak (35%)	doconexent-ethyl-ester	Very Weak (35%)
Strong (80%)	vinblastine	Strong (80%)
No-Effect	prednicarbate	No-Effect
No-Effect	nevirapine	No-Effect
Low (25%)	ramelteon	Low (25%)
No-Effect	midecamycin	No-Effect
Low (25%)	ethotoin	Low (25%)
No-Effect	pivmecillinam	No-Effect
No-Effect	denotivir	No-Effect
No-Effect	dehydroepiandrosterone-sulfate	No-Effect
No-Effect	ertapenem	No-Effect
No-Effect	hydroxystilbamidine	No-Effect
No-Effect	methylprednisolone	No-Effect
Cyto	daunorubicin	Cyto
Weak (50%)	medronic-acid	Weak (50%)
Weak (50%)	dalfampridine	Weak (50%)
Weak (50%)	propiverine	Weak (50%)
No-Effect	flavoxate	No-Effect
Very Weak (35%)	todralazine	Very Weak (35%)
Low (25%)	D-delta-tocopherol	Low (25%)
Very Weak (35%)	apraclonidine	Very Weak (35%)
Cyto	ciclopirox	Cyto
No-Effect	pyridoxal	No-Effect
Manual Inspection	propofol	No-Effect
No-Effect	tagatose	No-Effect
No-Effect	levonordefrin	No-Effect
No-Effect	dopamine	No-Effect
No-Effect	iodixanol	No-Effect
Low (25%)	proquazone	Low (25%)
No-Effect	practolol	No-Effect
No-Effect	lynestrenol	No-Effect
No-Effect	bivalirudin	No-Effect
Low (25%)	larotrectinib	Low (25%)
Weak (50%)	voxelotor	Weak (50%)
No-Effect	rimegepant	No-Effect
Low (25%)	segesterone-acetate	Low (25%)
Weak (50%)	pitolisant	Weak (50%)
No-Effect	pretomanid	No-Effect
Very Weak (35%)	vismodegib	Very Weak (35%)
Low (25%)	tannic-acid	Low (25%)
No-Effect	dalbavancin	No-Effect
Very Weak (35%)	bempedoic-acid	Very Weak (35%)
Low (25%)	duvelisib	Low (25%)
Low (25%)	neomycin	Low (25%)
No-Effect	thonzylamine	No-Effect
No-Effect	tivozanib	No-Effect
No-Effect	benproperine	No-Effect
No-Effect	cefotiam-cilexetil	No-Effect
No-Effect	aminoglutethimide	No-Effect
Manual Inspection	ledipasvir	No-Effect
No-Effect	retinaldehyde	No-Effect
Very Weak (35%)	pemetrexed	Very Weak (35%)
No-Effect	felbamate	No-Effect
No-Effect	tiludronate	No-Effect
No-Effect	celiprolol	No-Effect
No-Effect	haloprogin	No-Effect
No-Effect	phenylbenzimidazole-sulfonic-acid	No-Effect
No-Effect	diazoxide	No-Effect
No-Effect	rupatadine	No-Effect
No-Effect	sodium-stibogluconate	No-Effect
Weak (50%)	ibuprofen	Weak (50%)
Manual Inspection	sulfamoxole	No-Effect
No-Effect	pasireotide	No-Effect
No-Effect	cariprazine	No-Effect
No-Effect	lenvatinib	No-Effect
No-Effect	cafestol	No-Effect
No-Effect	levo-phencynonate	No-Effect
No-Effect	nilotinib	No-Effect
Manual Inspection	vigabatrin	No-Effect
No-Effect	terazosin	No-Effect
No-Effect	chlorambucil	No-Effect
No-Effect	metipranolol	No-Effect
Weak (50%)	oxelaidin	Weak (50%)
No-Effect	selexipag	No-Effect
No-Effect	hydroxyprogesterone	No-Effect
No-Effect	irinotecan	No-Effect
No-Effect	methyl-aminolevulinate	No-Effect
No-Effect	iopamidol	No-Effect
No-Effect	glimepiride	No-Effect
No-Effect	cilnidipine	No-Effect
No-Effect	metamizole	No-Effect
No-Effect	tetramisole	No-Effect
No-Effect	azapropazone	No-Effect
No-Effect	tropesin	No-Effect
No-Effect	fluorometholone	No-Effect
No-Effect	enoximone	No-Effect
Weak (50%)	maropitant	Weak (50%)
Weak (50%)	verteporfin	Weak (50%)
No-Effect	benazepril	No-Effect
No-Effect	ecabet	No-Effect
No-Effect	lornoxicam	No-Effect
No-Effect	lobenzarit	No-Effect
Low (25%)	montelukast	Low (25%)
No-Effect	garenoxacin	No-Effect
No-Effect	homochlorcyclizine	No-Effect
No-Effect	terlipressin	No-Effect
No-Effect	pimozide	No-Effect
No-Effect	taltirelin	No-Effect
No-Effect	alcaftadine	No-Effect
Weak (50%)	venlafaxine	Weak (50%)
Low (25%)	gepefrine	Low (25%)
Low (25%)	pempidine	Low (25%)
No-Effect	heptaminol	No-Effect
No-Effect	terodiline	No-Effect
Low (25%)	gemcitabine	Low (25%)
No-Effect	enisamium-iodide	No-Effect
No-Effect	cefpiramide	No-Effect
No-Effect	oxiracetam	No-Effect
No-Effect	aminophylline	No-Effect
Weak (50%)	camylofine-chlorhydrate	Weak (50%)
Weak (50%)	ginsenoside-RE3	Weak (50%)
No-Effect	methoxsalen	No-Effect
No-Effect	GR-235	No-Effect
No-Effect	moxaverine	No-Effect
No-Effect	disulfiram	No-Effect
No-Effect	venetoclax	No-Effect
No-Effect	bismuth-subgallate	No-Effect
Low (25%)	tolazoline	Low (25%)
No-Effect	benzydamine	No-Effect
Strong (80%)	prochlorperazine	Strong (80%)
No-Effect	pilsicainide	No-Effect
Very Weak (35%)	dapagliflozin	Very Weak (35%)
Very Weak (35%)	potassium-p-aminobenzoate	Very Weak (35%)
No-Effect	L-proline	No-Effect
No-Effect	benserazide	No-Effect
No-Effect	amantadine	No-Effect
No-Effect	methenamine	No-Effect
Weak (50%)	hexachlorophene	Weak (50%)
No-Effect	triclosan	No-Effect
No-Effect	budipine	No-Effect
No-Effect	ceritinib	No-Effect
No-Effect	ethopabate	No-Effect
No-Effect	L-methionine	No-Effect
No-Effect	acitazanolast	No-Effect
No-Effect	fludarabine-phosphate	No-Effect
No-Effect	naloxone	No-Effect
Strong (80%)	osimertinib	Strong (80%)
No-Effect	nifuroxazide	No-Effect
No-Effect	calcipotriol	No-Effect
Manual Inspection	sisomicin-sulfate	No-Effect
No-Effect	propatylnitrate	No-Effect
No-Effect	monoctanoin	No-Effect
No-Effect	exifone	No-Effect
No-Effect	kinetin	No-Effect
No-Effect	oxyquinoline	No-Effect
No-Effect	epirubicin	No-Effect
No-Effect	teriflunomide	No-Effect
No-Effect	isopropyl-myristate	No-Effect
Manual Inspection	dimemorfan	No-Effect
No-Effect	cabagin	No-Effect
No-Effect	alpelisib	No-Effect
No-Effect	bremelanotide	No-Effect
No-Effect	hydralazine	No-Effect
Weak (50%)	promazine	Weak (50%)
No-Effect	undecylenic-acid	No-Effect
No-Effect	citalopram	No-Effect
No-Effect	abacavir	No-Effect
No-Effect	miocamycin	No-Effect
No-Effect	delamanid	No-Effect
No-Effect	flibanserin	No-Effect
Low (25%)	niceritrol	Low (25%)
No-Effect	zolimidine	No-Effect
No-Effect	olprinone	No-Effect
No-Effect	plerixafor	No-Effect
No-Effect	chlorphenesin	No-Effect
No-Effect	anecortave-acetate	No-Effect
No-Effect	escin	No-Effect
No-Effect	pentoxifylline	No-Effect
No-Effect	5-fluorouracil	No-Effect
Manual Inspection	mercaptosuccinic-acid	No-Effect
No-Effect	ceftaroline-fosamil	No-Effect
No-Effect	ifosfamide	No-Effect
No-Effect	rofecoxib	No-Effect
No-Effect	artesunate	No-Effect
No-Effect	cibenzoline	No-Effect
No-Effect	algestone-acetophenide	No-Effect
Strong (80%)	tioguanine	Strong (80%)
Weak (50%)	thiethylperazine	Weak (50%)
No-Effect	riodoxol	No-Effect
No-Effect	succinylcholine-chloride	No-Effect
Manual Inspection	terbutaline	No-Effect
No-Effect	gadoteridol	No-Effect
No-Effect	ajmaline	No-Effect
Manual Inspection	menatetrenone	No-Effect
No-Effect	thiopental	No-Effect
No-Effect	rabeprazole	No-Effect
Weak (50%)	profenamine	Weak (50%)
No-Effect	vitamin-E	No-Effect
Manual Inspection	methantheline	No-Effect
Manual Inspection	pazopanib	No-Effect
Strong (80%)	pimethixene	Strong (80%)
No-Effect	phenindamine	No-Effect
No-Effect	retinol	No-Effect
Very Weak (35%)	spaglumic-acid	Very Weak (35%)
Cyto	ecamsule-triethanolamine	Cyto
Manual Inspection	nalbuphine	No-Effect
Weak (50%)	levallorphan	Weak (50%)
No-Effect	teicoplanin-A2-1	No-Effect
No-Effect	sucralfate	No-Effect
No-Effect	polymyxin-B-sulfate	No-Effect
No-Effect	cinacalcet	No-Effect
No-Effect	mitoxantrone	No-Effect
Cyto	fedratinib	Cyto
No-Effect	pranoprofen	No-Effect
No-Effect	bretylium	No-Effect
No-Effect	ivacaftor	No-Effect
No-Effect	blonanserin	No-Effect
No-Effect	idoxuridine	No-Effect
No-Effect	fenticonazole	No-Effect
No-Effect	sulindac	No-Effect
No-Effect	almotriptan	No-Effect
No-Effect	trelagliptin	No-Effect
No-Effect	meprednisone	No-Effect
No-Effect	prednisone	No-Effect
No-Effect	adiphenine	No-Effect
No-Effect	deflazacort	No-Effect
No-Effect	prucalopride	No-Effect
Manual Inspection	betamethasone	No-Effect
No-Effect	sarafloxacin	No-Effect
Manual Inspection	bifonazole	No-Effect
No-Effect	leucovorin	No-Effect
No-Effect	clinofibrate	No-Effect
No-Effect	indoprofen	No-Effect
No-Effect	lacidipine	No-Effect
No-Effect	erdosteine	No-Effect
No-Effect	dexamethasone-acetate	No-Effect
No-Effect	lumacaftor	No-Effect
No-Effect	oxybutynin	No-Effect
No-Effect	bromhexine	No-Effect
No-Effect	pimobendan	No-Effect
No-Effect	eltrombopag	No-Effect
No-Effect	levobetaxolol	No-Effect
No-Effect	ambrisentan	No-Effect
No-Effect	letrozole	No-Effect
No-Effect	moclobemide	No-Effect
No-Effect	ticlopidine	No-Effect
No-Effect	memantine	No-Effect
No-Effect	methyldopa	No-Effect
No-Effect	nimesulide	No-Effect
No-Effect	ipratropium	No-Effect
Manual Inspection	probenecid	No-Effect
No-Effect	pramipexole	No-Effect
No-Effect	pronethalol	No-Effect
No-Effect	mepyramine	No-Effect
No-Effect	nateglinide	No-Effect
No-Effect	pilocarpine	No-Effect
No-Effect	bifemelane	No-Effect
No-Effect	febuxostat	No-Effect
No-Effect	pirlindole	No-Effect
No-Effect	pyrimethamine	No-Effect
Weak (50%)	valsartan	Weak (50%)
No-Effect	perindopril	No-Effect
No-Effect	entacapone	No-Effect
No-Effect	acriflavine	No-Effect
No-Effect	epitiostanol	No-Effect
No-Effect	hydroxyzine	No-Effect
No-Effect	trametinib	No-Effect
No-Effect	spironolactone	No-Effect
No-Effect	dextromethorphan	No-Effect
No-Effect	SN-38	No-Effect
Low (25%)	dipyridamole	Low (25%)
Very Weak (35%)	guanadrel	Very Weak (35%)
No-Effect	metharbital	No-Effect
Manual Inspection	flumazenil	No-Effect
No-Effect	sertaconazole	No-Effect
No-Effect	decoquinate	No-Effect
No-Effect	besifloxacin	No-Effect
No-Effect	alvimopan	No-Effect
No-Effect	nefazodone	No-Effect
No-Effect	isoconazole	No-Effect
No-Effect	probucol	No-Effect
No-Effect	carbenoxolone	No-Effect
Low (25%)	ramatroban	Low (25%)
No-Effect	sulconazole	No-Effect
No-Effect	moexipril	No-Effect
Low (25%)	ipragliflozin-L-proline	Low (25%)
No-Effect	alogliptin	No-Effect
No-Effect	peramivir	No-Effect
No-Effect	carvedilol	No-Effect
Strong (80%)	homoharringtonine	Strong (80%)
Strong (80%)	methotrexate	Strong (80%)
No-Effect	tandospirone	No-Effect
No-Effect	tacalcitol	No-Effect
No-Effect	nemonapride	No-Effect
No-Effect	agomelatine	No-Effect
No-Effect	atomoxetine	No-Effect
No-Effect	obidoxime	No-Effect
No-Effect	levalbuterol	No-Effect
No-Effect	fomocaine	No-Effect
Very Weak (35%)	ormeloxifene	Very Weak (35%)
No-Effect	albuterol	No-Effect
No-Effect	amitraz	No-Effect
Manual Inspection	docosanol	No-Effect
Manual Inspection	fentiazac	No-Effect
No-Effect	bromopride	No-Effect
Very Weak (35%)	phenothrin	Very Weak (35%)
No-Effect	midodrine	No-Effect
No-Effect	carbarsone	No-Effect
No-Effect	indoramin	No-Effect
No-Effect	althiazide	No-Effect
No-Effect	labetalol	No-Effect
No-Effect	cis-9,trans-11-conjugated-linoleic-acid	No-Effect
No-Effect	lacitol	No-Effect
No-Effect	trans-10,cis-12-conjugated-linoleic-acid	No-Effect
No-Effect	amdinocillin	No-Effect
No-Effect	trofosfamide	No-Effect
No-Effect	vedaprofen	No-Effect
No-Effect	acedapsone	No-Effect
No-Effect	neridronic-acid	No-Effect
No-Effect	nifurtimox	No-Effect
No-Effect	melevodopa	No-Effect
No-Effect	propentofylline	No-Effect
No-Effect	halazone	No-Effect
No-Effect	nimorazole	No-Effect
No-Effect	etidronic-acid	No-Effect
Strong (80%)	buparvaquone	Strong (80%)
No-Effect	setiptiline	No-Effect
Manual Inspection	norfloxacin	No-Effect
No-Effect	desogestrel	No-Effect
No-Effect	pipemidic-acid	No-Effect
No-Effect	melatonin	No-Effect
No-Effect	acamprosate	No-Effect
No-Effect	chlormezanone	No-Effect
Manual Inspection	L-arginine	No-Effect
No-Effect	hexestrol	No-Effect
No-Effect	beclamide	No-Effect
No-Effect	phenacetin	No-Effect
No-Effect	acetyl-l-leucine	No-Effect
No-Effect	acetylcholine	No-Effect
No-Effect	aceglutamide	No-Effect
No-Effect	tazobactam	No-Effect
No-Effect	bufexamac	No-Effect
No-Effect	methoxamine	No-Effect
No-Effect	proxodolol	No-Effect
No-Effect	nialamide	No-Effect
Very Weak (35%)	dydrogesterone	Very Weak (35%)
No-Effect	dimpylate	No-Effect
No-Effect	desvenlafaxine	No-Effect
Manual Inspection	ropinirole	No-Effect
No-Effect	cyclopenthiazide	No-Effect
No-Effect	eugenol	No-Effect
No-Effect	propylparaben	No-Effect
No-Effect	dipivefrine	No-Effect
Cyto	vinburnine	Cyto
No-Effect	mercaptopurine	No-Effect
No-Effect	beta-carotene	No-Effect
No-Effect	etomidate	No-Effect
No-Effect	cefotaxime	No-Effect
No-Effect	oxymatrine	No-Effect
No-Effect	ritonavir	No-Effect
No-Effect	isosorbide-dinitrate	No-Effect
No-Effect	indobufen	No-Effect
No-Effect	phenprocoumon	No-Effect
No-Effect	trimetozine	No-Effect
No-Effect	estradiol-acetate	No-Effect
Low (25%)	altretamine	Low (25%)
No-Effect	ephedrine-(racemic)	No-Effect
No-Effect	furazolidone	No-Effect
No-Effect	ammonium-lactate	No-Effect
No-Effect	acetohexamide	No-Effect
No-Effect	fosinopril	No-Effect
Very Weak (35%)	nepafenac	Very Weak (35%)
Manual Inspection	cephradine	No-Effect
No-Effect	suplatast	No-Effect
Manual Inspection	formestane	No-Effect
Low (25%)	azosemide	Low (25%)
No-Effect	ademetionine	No-Effect
No-Effect	bromantan	No-Effect
No-Effect	clavulanate	No-Effect
No-Effect	dapiprazole	No-Effect
Manual Inspection	thiamphenicol	No-Effect
Weak (50%)	amineptine	Weak (50%)
No-Effect	mometasone	No-Effect
No-Effect	pivampicillin	No-Effect
No-Effect	uracil	No-Effect
Manual Inspection	diaveridine	No-Effect
No-Effect	glycerol-monolaurate	No-Effect
No-Effect	phenoxybenzamine	No-Effect
No-Effect	hydrocortisone-butyrate	No-Effect
No-Effect	tranexamic-acid	No-Effect
Manual Inspection	articaine	No-Effect
Weak (50%)	trifluoperazine	Weak (50%)
No-Effect	methimazole	No-Effect
No-Effect	dehydroepiandrosterone	No-Effect
No-Effect	sumatriptan	No-Effect
No-Effect	eslicarbazepine-acetate	No-Effect
No-Effect	nitrofurantoin	No-Effect
Low (25%)	fluoxetine	Low (25%)
No-Effect	sofalcone	No-Effect
Low (25%)	cefonicid	Low (25%)
No-Effect	nadifloxacin	No-Effect
No-Effect	riboflavin	No-Effect
No-Effect	climbazole	No-Effect
No-Effect	methyldopate	No-Effect
Strong (80%)	auranofin	No-Effect
No-Effect	avanafil	No-Effect
No-Effect	hydroquinone	No-Effect
No-Effect	fenofibrate	No-Effect
Very Weak (35%)	riluzole	Very Weak (35%)
Weak (50%)	vincristine	Weak (50%)
No-Effect	halcinonide	No-Effect
No-Effect	apalutamide	No-Effect
No-Effect	iloprost	No-Effect
No-Effect	permethrin	No-Effect
Strong (80%)	afatinib	Strong (80%)
No-Effect	teprenone	No-Effect
No-Effect	allantoin	No-Effect
No-Effect	bicyclol	No-Effect
No-Effect	phenylpiracetam	No-Effect
No-Effect	indomethacin	No-Effect
No-Effect	propiolactone	No-Effect
No-Effect	warfarin	No-Effect
No-Effect	malic-acid	No-Effect
No-Effect	tepoxalin	No-Effect
Manual Inspection	nizofenone	No-Effect
No-Effect	anagrelide	No-Effect
No-Effect	deferoxamine-mesylate	No-Effect
Cyto	panobinostat	Cyto
Low (25%)	topiramate	Low (25%)
Very Weak (35%)	isometheptene-mucate	Very Weak (35%)
Low (25%)	fasudil	Low (25%)
No-Effect	cevimeline	No-Effect
No-Effect	fosinoprilat	No-Effect
No-Effect	lofepramine	No-Effect
No-Effect	bromfenac	No-Effect
No-Effect	mebrofenin	No-Effect
No-Effect	fluconazole	No-Effect
No-Effect	nadolol	No-Effect
No-Effect	D-alpha-tocopheryl-succinate	No-Effect
No-Effect	nisoldipine	No-Effect
Weak (50%)	arbidol	Weak (50%)
Very Weak (35%)	arsenic-trioxide	Very Weak (35%)
No-Effect	barnidipine	No-Effect
Cyto	saccharin	Cyto
Cyto	anthralin	Cyto
No-Effect	bifendate	No-Effect
No-Effect	pyrazinamide	No-Effect
Low (25%)	bicalutamide	Low (25%)
Very Weak (35%)	enasidenib	Very Weak (35%)
Manual Inspection	azasetron	No-Effect
Low (25%)	meclofenamic-acid	Low (25%)
No-Effect	miltefosine	No-Effect
No-Effect	medroxyprogesterone-acetate	No-Effect
No-Effect	triclabendazole	No-Effect
No-Effect	fosamprenavir	No-Effect
